soma,e_pas,-71,-72
soma,gbar_na3rp,0.01,0.022
soma,gbar_naps,2.60E-05,2.00E-05
soma,sh_na3rp,1,1
soma,sh_naps,5,5
soma,ar_na3rp,1,1
soma,ar_naps,1,1
soma,gMax_kdrRL,0.015,0.02
soma,gcamax_mAHP,6.40E-06,1.05E-05
soma,gkcamax_mAHP,0.00045,0.0006
soma,taur_mAHP,60,10
soma,ek,-80,-80
soma,ghbar_gh,3.00E-05,2.30E-04
soma,half_gh,-77,-77
dend,e_pas,-71,-72
dend,gcabar_L_Ca,9.50E-05,1.26E-04
dend,ghbar_gh,3.00E-05,2.30E-04
dend,half_gh,-77,-77
h,qinf_na3rp,8,8
h,thinf_na3rp,-50,-50
h,vslope_naps,5,5
h,asvh_naps,-90,-90
h,bsvh_naps,-22,-22
h,mvhalfca_mAHP,-20,-20
h,mtauca_mAHP,2,2
h,celsius,37,37
h,theta_m_L_Ca,-40,-37
h,tau_m_L_Ca,40,40
#h,theta_h_L_Ca,8,-30.6
#h,tau_h_L_Ca,2500,2500
#h,kappa_h_L_Ca,5,5
h,htau_gh,30,30
h,mVh_kdrRL,-21,-21
h,tmin_kdrRL,0.8,0.8
h,taumax_kdrRL,20,20
#h,V0,-15,10
